ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,INTFR,20181018131100,N,51,2018,2000
FOU2T52W,INTIRL,20181018131100,N,51,2018,500
FOU2T52W,INTNED,20181018131100,N,51,2018,1000
FOU2T52W,NPSHYD,20181018131100,N,51,2018,1048
FOU2T52W,NUCLEAR,20181018131100,N,51,2018,7816
FOU2T52W,OCGT,20181018131100,N,51,2018,876
FOU2T52W,OTHER,20181018131100,N,51,2018,66
FOU2T52W,PS,20181018131100,N,51,2018,2800
FOU2T52W,WIND,20181018131100,N,51,2018,7084
FOU2T52W,BIOMASS,20181018131100,N,52,2018,3122
FOU2T52W,CCGT,20181018131100,N,52,2018,28957
FOU2T52W,COAL,20181018131100,N,52,2018,10229
FOU2T52W,INTEW,20181018131100,N,52,2018,500
FOU2T52W,INTFR,20181018131100,N,52,2018,2000
FOU2T52W,INTIRL,20181018131100,N,52,2018,500
FOU2T52W,INTNED,20181018131100,N,52,2018,1000
FOU2T52W,NPSHYD,20181018131100,N,52,2018,1048
FOU2T52W,NUCLEAR,20181018131100,N,52,2018,9076
FOU2T52W,OCGT,20181018131100,N,52,2018,876
FOU2T52W,OTHER,20181018131100,N,52,2018,66
FOU2T52W,PS,20181018131100,N,52,2018,2800
FOU2T52W,WIND,20181018131100,N,52,2018,7088
FOU2T52W,BIOMASS,20181018131100,N,1,2019,3122
FOU2T52W,CCGT,20181018131100,N,1,2019,28958
FOU2T52W,COAL,20181018131100,N,1,2019,10229
FOU2T52W,INTEW,20181018131100,N,1,2019,500
FOU2T52W,INTFR,20181018131100,N,1,2019,2000
FOU2T52W,INTIRL,20181018131100,N,1,2019,500
FOU2T52W,INTNED,20181018131100,N,1,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,1,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,1,2019,8741
FOU2T52W,OCGT,20181018131100,N,1,2019,875
FOU2T52W,OTHER,20181018131100,N,1,2019,66
FOU2T52W,PS,20181018131100,N,1,2019,2620
FOU2T52W,WIND,20181018131100,N,1,2019,7111
FOU2T52W,BIOMASS,20181018131100,N,2,2019,3122
FOU2T52W,CCGT,20181018131100,N,2,2019,29787
FOU2T52W,COAL,20181018131100,N,2,2019,10229
FOU2T52W,INTEW,20181018131100,N,2,2019,500
FOU2T52W,INTFR,20181018131100,N,2,2019,2000
FOU2T52W,INTIRL,20181018131100,N,2,2019,500
FOU2T52W,INTNED,20181018131100,N,2,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,2,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,2,2019,7621
FOU2T52W,OCGT,20181018131100,N,2,2019,876
FOU2T52W,OTHER,20181018131100,N,2,2019,66
FOU2T52W,PS,20181018131100,N,2,2019,2720
FOU2T52W,WIND,20181018131100,N,2,2019,7063
FOU2T52W,BIOMASS,20181018131100,N,3,2019,3122
FOU2T52W,CCGT,20181018131100,N,3,2019,29782
FOU2T52W,COAL,20181018131100,N,3,2019,10229
FOU2T52W,INTEW,20181018131100,N,3,2019,500
FOU2T52W,INTFR,20181018131100,N,3,2019,2000
FOU2T52W,INTIRL,20181018131100,N,3,2019,500
FOU2T52W,INTNED,20181018131100,N,3,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,3,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,3,2019,7322
FOU2T52W,OCGT,20181018131100,N,3,2019,876
FOU2T52W,OTHER,20181018131100,N,3,2019,66
FOU2T52W,PS,20181018131100,N,3,2019,2810
FOU2T52W,WIND,20181018131100,N,3,2019,7071
FOU2T52W,BIOMASS,20181018131100,N,4,2019,3122
FOU2T52W,CCGT,20181018131100,N,4,2019,29032
FOU2T52W,COAL,20181018131100,N,4,2019,10229
FOU2T52W,INTEW,20181018131100,N,4,2019,500
FOU2T52W,INTFR,20181018131100,N,4,2019,2000
FOU2T52W,INTIRL,20181018131100,N,4,2019,500
FOU2T52W,INTNED,20181018131100,N,4,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,4,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,4,2019,8038
FOU2T52W,OCGT,20181018131100,N,4,2019,876
FOU2T52W,OTHER,20181018131100,N,4,2019,66
FOU2T52W,PS,20181018131100,N,4,2019,2810
FOU2T52W,WIND,20181018131100,N,4,2019,7079
FOU2T52W,BIOMASS,20181018131100,N,5,2019,3122
FOU2T52W,CCGT,20181018131100,N,5,2019,29022
FOU2T52W,COAL,20181018131100,N,5,2019,9744
FOU2T52W,INTEW,20181018131100,N,5,2019,500
FOU2T52W,INTFR,20181018131100,N,5,2019,2000
FOU2T52W,INTIRL,20181018131100,N,5,2019,500
FOU2T52W,INTNED,20181018131100,N,5,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,5,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,5,2019,8855
FOU2T52W,OCGT,20181018131100,N,5,2019,876
FOU2T52W,OTHER,20181018131100,N,5,2019,66
FOU2T52W,PS,20181018131100,N,5,2019,2810
FOU2T52W,WIND,20181018131100,N,5,2019,7082
FOU2T52W,BIOMASS,20181018131100,N,6,2019,3122
FOU2T52W,CCGT,20181018131100,N,6,2019,29781
FOU2T52W,COAL,20181018131100,N,6,2019,9744
FOU2T52W,INTEW,20181018131100,N,6,2019,500
FOU2T52W,INTFR,20181018131100,N,6,2019,2000
FOU2T52W,INTIRL,20181018131100,N,6,2019,500
FOU2T52W,INTNED,20181018131100,N,6,2019,1000
FOU2T52W,NPSHYD,20181018131100,N,6,2019,1048
FOU2T52W,NUCLEAR,20181018131100,N,6,2019,9084
FOU2T52W,OCGT,20181018131100,N,6,2019,876
FOU2T52W,OTHER,20181018131100,N,6,2019,66
FOU2T52W,PS,20181018131100,N,6,2019,2810
FOU2T52W,WIND,20181018131100,N,6,2019,6457
FOU2T52W,BIOMASS,20181018131100,N,7,2019,3122
FOU2T52W,CCGT,20181018131100,N,7,2019,29776
FOU2T52W,COAL,20181018131100,N,7,2019,9744
FOU2T52W,INTEW,20181018131100,N,7,2019,500
FOU2T52W,INTFR,20181018131100,N,7,2019,2000
