HDR,SYSTEM FREQUENCY DATA
FREQ,20181010113030,49.910
FREQ,20181010113045,49.902
FREQ,20181010113100,49.880
FREQ,20181010113115,49.892
FREQ,20181010113130,49.907
FREQ,20181010113145,49.897
FREQ,20181010113200,49.897
FREQ,20181010113215,49.912
FREQ,20181010113230,49.932
FREQ,20181010113245,49.945
FREQ,20181010113300,49.945
FREQ,20181010113315,49.930
FREQ,20181010113330,49.947
FREQ,20181010113345,49.960
FREQ,20181010113400,49.972
FREQ,20181010113415,49.965
FREQ,20181010113430,49.982
FREQ,20181010113445,49.997
FREQ,20181010113500,49.972
FREQ,20181010113515,49.970
FREQ,20181010113530,49.965
FREQ,20181010113545,49.982
FREQ,20181010113600,49.975
FREQ,20181010113615,49.962
FREQ,20181010113630,49.980
FREQ,20181010113645,50.022
FREQ,20181010113700,50.012
FREQ,20181010113715,49.990
FREQ,20181010113730,50.032
FREQ,20181010113745,50.017
FREQ,20181010113800,50.030
FREQ,20181010113815,50.042
FREQ,20181010113830,50.055
FREQ,20181010113845,50.042
FREQ,20181010113900,50.062
FREQ,20181010113915,50.042
FREQ,20181010113930,50.052
FREQ,20181010113945,50.085
FREQ,20181010114000,50.080
FREQ,20181010114015,50.065
FREQ,20181010114030,50.047
FREQ,20181010114045,50.025
FREQ,20181010114100,50.030
FREQ,20181010114115,50.025
FREQ,20181010114130,50.062
FREQ,20181010114145,50.022
FREQ,20181010114200,50.030
FREQ,20181010114215,50.010
FREQ,20181010114230,50.032
FREQ,20181010114245,50.022
FREQ,20181010114300,50.010
FREQ,20181010114315,50.037
FREQ,20181010114330,50.027
FREQ,20181010114345,50.017
FREQ,20181010114400,50.010
FREQ,20181010114415,50.032
FREQ,20181010114430,50.000
FREQ,20181010114445,50.027
FREQ,20181010114500,50.025
FREQ,20181010114515,50.040
FREQ,20181010114530,50.035
FREQ,20181010114545,50.030
FREQ,20181010114600,50.050
FREQ,20181010114615,50.057
FREQ,20181010114630,50.052
FREQ,20181010114645,50.042
FREQ,20181010114700,50.060
FREQ,20181010114715,50.070
FREQ,20181010114730,50.070
FREQ,20181010114745,50.087
FREQ,20181010114800,50.105
FREQ,20181010114815,50.095
FREQ,20181010114830,50.107
FREQ,20181010114845,50.085
FREQ,20181010114900,50.100
FREQ,20181010114915,50.120
FREQ,20181010114930,50.107
FREQ,20181010114945,50.110
FREQ,20181010115000,50.102
FREQ,20181010115015,50.112
FREQ,20181010115030,50.122
FREQ,20181010115045,50.115
FREQ,20181010115100,50.180
FREQ,20181010115115,50.173
FREQ,20181010115130,50.140
FREQ,20181010115145,50.163
FREQ,20181010115200,50.152
FREQ,20181010115215,50.160
FREQ,20181010115230,50.125
FREQ,20181010115245,50.137
FREQ,20181010115300,50.115
FREQ,20181010115315,50.097
FREQ,20181010115330,50.110
FREQ,20181010115345,50.087
FREQ,20181010115400,50.085
FREQ,20181010115415,50.080
FREQ,20181010115430,50.082
FREQ,20181010115445,50.112
FREQ,20181010115500,50.097
FREQ,20181010115515,50.105
FREQ,20181010115530,50.082
FREQ,20181010115545,50.075
FREQ,20181010115600,50.070
FREQ,20181010115615,50.040
FREQ,20181010115630,50.052
FREQ,20181010115645,50.005
FREQ,20181010115700,49.975
FREQ,20181010115715,49.965
FREQ,20181010115730,49.960
FREQ,20181010115745,49.977
FREQ,20181010115800,49.997
FREQ,20181010115815,49.975
FREQ,20181010115830,49.922
FREQ,20181010115845,49.900
FREQ,20181010115900,49.882
FREQ,20181010115915,49.855
FREQ,20181010115930,49.855
FREQ,20181010115945,49.940
FREQ,20181010120000,49.907
FREQ,20181010120015,49.950
FREQ,20181010120030,49.972
FREQ,20181010120045,50.020
FREQ,20181010120100,50.035
FREQ,20181010120115,50.010
FREQ,20181010120130,50.015
FREQ,20181010120145,50.030
FREQ,20181010120200,50.085
FREQ,20181010120215,50.015
FREQ,20181010120230,50.025
FREQ,20181010120245,50.057
FREQ,20181010120300,50.055
FREQ,20181010120315,50.067
FREQ,20181010120330,50.075
FREQ,20181010120345,50.087
FREQ,20181010120400,50.022
FREQ,20181010120415,49.992
FREQ,20181010120430,50.000
FREQ,20181010120445,49.950
FREQ,20181010120500,49.980
FREQ,20181010120515,49.967
FREQ,20181010120530,49.945
FREQ,20181010120545,49.970
FREQ,20181010120600,49.947
FREQ,20181010120615,49.927
FREQ,20181010120630,49.932
FREQ,20181010120645,49.920
FREQ,20181010120700,49.905
FREQ,20181010120715,49.920
FREQ,20181010120730,49.935
FREQ,20181010120745,49.942
FREQ,20181010120800,49.932
FREQ,20181010120815,49.937
FREQ,20181010120830,49.982
FREQ,20181010120845,49.962
FREQ,20181010120900,49.960
FREQ,20181010120915,49.965
FREQ,20181010120930,49.970
FREQ,20181010120945,49.982
FREQ,20181010121000,49.977
FREQ,20181010121015,49.967
FREQ,20181010121030,49.980
FREQ,20181010121045,49.955
FREQ,20181010121100,49.990
FREQ,20181010121115,50.017
FREQ,20181010121130,50.035
FREQ,20181010121145,50.030
FREQ,20181010121200,50.060
FREQ,20181010121215,50.020
FREQ,20181010121230,50.037
FREQ,20181010121245,50.027
FREQ,20181010121300,50.037
FREQ,20181010121315,50.045
FREQ,20181010121330,50.072
FREQ,20181010121345,50.067
FREQ,20181010121400,50.062
FREQ,20181010121415,50.075
FREQ,20181010121430,50.055
FREQ,20181010121445,50.047
FREQ,20181010121500,50.055
FREQ,20181010121515,50.097
FREQ,20181010121530,50.070
FREQ,20181010121545,50.100
FREQ,20181010121600,50.115
FREQ,20181010121615,50.100
FREQ,20181010121630,50.095
FREQ,20181010121645,50.097
FREQ,20181010121700,50.107
FREQ,20181010121715,50.092
FREQ,20181010121730,50.112
FREQ,20181010121745,50.110
FREQ,20181010121800,50.100
FREQ,20181010121815,50.100
FREQ,20181010121830,50.127
FREQ,20181010121845,50.152
FREQ,20181010121900,50.120
FREQ,20181010121915,50.117
FREQ,20181010121930,50.087
FREQ,20181010121945,50.077
FREQ,20181010122000,50.122
FREQ,20181010122015,50.120
FREQ,20181010122030,50.125
FREQ,20181010122045,50.107
FREQ,20181010122100,50.110
FREQ,20181010122115,50.085
FREQ,20181010122130,50.097
FREQ,20181010122145,50.125
FREQ,20181010122200,50.110
FREQ,20181010122215,50.105
FREQ,20181010122230,50.077
FREQ,20181010122245,50.087
FREQ,20181010122300,50.097
FREQ,20181010122315,50.075
FREQ,20181010122330,50.097
FREQ,20181010122345,50.085
FREQ,20181010122400,50.090
FREQ,20181010122415,50.075
FREQ,20181010122430,50.075
FREQ,20181010122445,50.057
FREQ,20181010122500,50.027
FREQ,20181010122515,50.060
FREQ,20181010122530,50.025
FREQ,20181010122545,50.005
FREQ,20181010122600,50.005
FREQ,20181010122615,49.992
FREQ,20181010122630,50.035
FREQ,20181010122645,50.010
FREQ,20181010122700,49.987
FREQ,20181010122715,49.992
FREQ,20181010122730,50.032
FREQ,20181010122745,50.025
FREQ,20181010122800,50.060
FREQ,20181010122815,50.050
FREQ,20181010122830,50.042
FREQ,20181010122845,50.075
FREQ,20181010122900,50.045
FREQ,20181010122915,50.060
FREQ,20181010122930,50.017
FREQ,20181010122945,50.030
FREQ,20181010123000,50.007
FREQ,20181010123015,50.025
FREQ,20181010123030,50.025
FREQ,20181010123045,50.045
FREQ,20181010123100,50.000
FREQ,20181010123115,50.037
FREQ,20181010123130,50.010
FREQ,20181010123145,50.025
FREQ,20181010123200,50.015
FREQ,20181010123215,50.030
FREQ,20181010123230,49.985
FREQ,20181010123245,50.032
FREQ,20181010123300,50.020
FREQ,20181010123315,49.997
FREQ,20181010123330,49.985
FREQ,20181010123345,49.995
FREQ,20181010123400,49.947
FREQ,20181010123415,49.947
FREQ,20181010123430,49.962
FREQ,20181010123445,49.960
FREQ,20181010123500,49.975
FREQ,20181010123515,49.955
FREQ,20181010123530,49.962
FREQ,20181010123545,49.967
FREQ,20181010123600,49.937
FREQ,20181010123615,49.965
FREQ,20181010123630,49.977
FREQ,20181010123645,49.920
FREQ,20181010123700,49.955
FREQ,20181010123715,49.972
FREQ,20181010123730,49.985
FREQ,20181010123745,49.987
FREQ,20181010123800,49.997
FREQ,20181010123815,49.997
FREQ,20181010123830,50.015
FREQ,20181010123845,49.990
FREQ,20181010123900,50.002
FREQ,20181010123915,50.030
FREQ,20181010123930,49.992
FREQ,20181010123945,50.040
FREQ,20181010124000,50.037
FREQ,20181010124015,50.045
FREQ,20181010124030,50.035
FREQ,20181010124045,50.015
FREQ,20181010124100,50.047
FREQ,20181010124115,50.025
FREQ,20181010124130,50.005
FREQ,20181010124145,50.022
FREQ,20181010124200,50.010
FREQ,20181010124215,50.027
FREQ,20181010124230,50.030
FREQ,20181010124245,50.062
FREQ,20181010124300,50.055
FREQ,20181010124315,50.070
FREQ,20181010124330,50.087
FREQ,20181010124345,50.055
FREQ,20181010124400,50.052
FREQ,20181010124415,50.022
FREQ,20181010124430,50.032
FREQ,20181010124445,50.045
FREQ,20181010124500,50.020
FREQ,20181010124515,50.047
FREQ,20181010124530,50.045
FREQ,20181010124545,50.070
FREQ,20181010124600,50.065
FREQ,20181010124615,50.065
FREQ,20181010124630,50.062
FREQ,20181010124645,50.057
FREQ,20181010124700,50.057
FREQ,20181010124715,50.055
FREQ,20181010124730,50.032
FREQ,20181010124745,50.047
FREQ,20181010124800,50.062
FREQ,20181010124815,50.050
FREQ,20181010124830,50.072
FREQ,20181010124845,50.052
FREQ,20181010124900,50.040
FREQ,20181010124915,50.052
FREQ,20181010124930,50.082
FREQ,20181010124945,50.065
FREQ,20181010125000,50.070
FREQ,20181010125015,50.075
FREQ,20181010125030,50.080
FREQ,20181010125045,50.085
FREQ,20181010125100,50.075
FREQ,20181010125115,50.055
FREQ,20181010125130,50.090
FREQ,20181010125145,50.092
FREQ,20181010125200,50.095
FREQ,20181010125215,50.097
FREQ,20181010125230,50.097
FREQ,20181010125245,50.112
FREQ,20181010125300,50.110
