Type,Week,Zone,Date,MW
OCNMFW2,27,N,20181018131100,19474
OCNMFW2,28,N,20181018131100,20266
OCNMFW2,29,N,20181018131100,20688
OCNMFW2,30,N,20181018131100,22521
OCNMFW2,31,N,20181018131100,22969
OCNMFW2,32,N,20181018131100,19739
OCNMFW2,33,N,20181018131100,20529
OCNMFW2,34,N,20181018131100,19596
OCNMFW2,35,N,20181018131100,19129
OCNMFW2,36,N,20181018131100,19600
OCNMFW2,37,N,20181018131100,17441
OCNMFW2,38,N,20181018131100,18194
OCNMFW2,39,N,20181018131100,17792
OCNMFW2,40,N,20181018131100,19338
OCNMFW2,41,N,20181018131100,18193
OCNMFW2,42,N,20181018131100,16084
FTR,204
