,settlementDate,settlementPeriod,powerSystemResourceType,quantity
558,2018-10-21,3,"""Hydro Run-of-river and poundage""",532
559,2018-10-21,3,"""Hydro Pumped Storage""",0
560,2018-10-21,3,"""Biomass""",1778
561,2018-10-21,4,"""Solar""",0
562,2018-10-21,4,"""Wind Offshore""",1369.584
563,2018-10-21,4,"""Wind Onshore""",2977.678
564,2018-10-21,4,"""Other""",65
565,2018-10-21,4,"""Nuclear""",4921
566,2018-10-21,4,"""Fossil Oil""",0
567,2018-10-21,4,"""Fossil Gas""",9073
568,2018-10-21,4,"""Fossil Hard coal""",0
569,2018-10-21,4,"""Hydro Run-of-river and poundage""",524
570,2018-10-21,4,"""Hydro Pumped Storage""",0
571,2018-10-21,4,"""Biomass""",1777
572,2018-10-21,5,"""Solar""",0
573,2018-10-21,5,"""Wind Offshore""",1331.219
574,2018-10-21,5,"""Wind Onshore""",2966.908
575,2018-10-21,5,"""Other""",32
576,2018-10-21,5,"""Nuclear""",5015
577,2018-10-21,5,"""Fossil Oil""",0
578,2018-10-21,5,"""Fossil Gas""",8979
579,2018-10-21,5,"""Fossil Hard coal""",0
580,2018-10-21,5,"""Hydro Run-of-river and poundage""",523
581,2018-10-21,5,"""Hydro Pumped Storage""",0
582,2018-10-21,5,"""Biomass""",1777
583,2018-10-21,6,"""Solar""",0
584,2018-10-21,6,"""Wind Offshore""",1294.542
585,2018-10-21,6,"""Wind Onshore""",3055.483
586,2018-10-21,6,"""Other""",61
587,2018-10-21,6,"""Nuclear""",5129
588,2018-10-21,6,"""Fossil Oil""",0
589,2018-10-21,6,"""Fossil Gas""",8926
590,2018-10-21,6,"""Fossil Hard coal""",0
591,2018-10-21,6,"""Hydro Run-of-river and poundage""",523
592,2018-10-21,6,"""Hydro Pumped Storage""",0
593,2018-10-21,6,"""Biomass""",1768
594,2018-10-21,7,"""Solar""",0
595,2018-10-21,7,"""Wind Offshore""",1307.933
596,2018-10-21,7,"""Wind Onshore""",3326.574
597,2018-10-21,7,"""Other""",64
598,2018-10-21,7,"""Nuclear""",5161
599,2018-10-21,7,"""Fossil Oil""",0
600,2018-10-21,7,"""Fossil Gas""",8149
601,2018-10-21,7,"""Fossil Hard coal""",0
602,2018-10-21,7,"""Hydro Run-of-river and poundage""",523
603,2018-10-21,7,"""Hydro Pumped Storage""",0
604,2018-10-21,7,"""Biomass""",1764
605,2018-10-21,8,"""Solar""",0
606,2018-10-21,8,"""Wind Offshore""",1337.609
607,2018-10-21,8,"""Wind Onshore""",3366.124
608,2018-10-21,8,"""Other""",63
609,2018-10-21,8,"""Nuclear""",5236
610,2018-10-21,8,"""Fossil Oil""",0
611,2018-10-21,8,"""Fossil Gas""",7675
612,2018-10-21,8,"""Fossil Hard coal""",0
613,2018-10-21,8,"""Hydro Run-of-river and poundage""",524
614,2018-10-21,8,"""Hydro Pumped Storage""",0
615,2018-10-21,8,"""Biomass""",1765
616,2018-10-21,9,"""Solar""",0
617,2018-10-21,9,"""Wind Offshore""",1483.57
618,2018-10-21,9,"""Wind Onshore""",3341.072
619,2018-10-21,9,"""Other""",63
620,2018-10-21,9,"""Nuclear""",5377
621,2018-10-21,9,"""Fossil Oil""",0
622,2018-10-21,9,"""Fossil Gas""",6921
623,2018-10-21,9,"""Fossil Hard coal""",0
624,2018-10-21,9,"""Hydro Run-of-river and poundage""",525
625,2018-10-21,9,"""Hydro Pumped Storage""",0
626,2018-10-21,9,"""Biomass""",1758
627,2018-10-21,10,"""Solar""",0
628,2018-10-21,10,"""Wind Offshore""",1546.423
629,2018-10-21,10,"""Wind Onshore""",3314.089
630,2018-10-21,10,"""Other""",64
631,2018-10-21,10,"""Nuclear""",5388
632,2018-10-21,10,"""Fossil Oil""",0
633,2018-10-21,10,"""Fossil Gas""",6737
634,2018-10-21,10,"""Fossil Hard coal""",0
635,2018-10-21,10,"""Hydro Run-of-river and poundage""",527
636,2018-10-21,10,"""Hydro Pumped Storage""",0
637,2018-10-21,10,"""Biomass""",1763
638,2018-10-21,11,"""Hydro Run-of-river and poundage""",549
639,2018-10-21,11,"""Hydro Pumped Storage""",0
640,2018-10-21,11,"""Biomass""",1764
641,2018-10-21,11,"""Solar""",0
642,2018-10-21,11,"""Wind Offshore""",1600.405
643,2018-10-21,11,"""Wind Onshore""",3478.743
644,2018-10-21,11,"""Other""",63
645,2018-10-21,11,"""Nuclear""",5378
646,2018-10-21,11,"""Fossil Oil""",0
647,2018-10-21,11,"""Fossil Gas""",6719
648,2018-10-21,11,"""Fossil Hard coal""",0
649,2018-10-21,13,"""Solar""",0
650,2018-10-21,13,"""Wind Offshore""",1655.494
651,2018-10-21,13,"""Wind Onshore""",3625.326
652,2018-10-21,13,"""Other""",64
653,2018-10-21,13,"""Nuclear""",5374
654,2018-10-21,13,"""Fossil Oil""",0
655,2018-10-21,13,"""Fossil Gas""",7240
656,2018-10-21,13,"""Fossil Hard coal""",0
657,2018-10-21,13,"""Hydro Run-of-river and poundage""",575
658,2018-10-21,13,"""Hydro Pumped Storage""",0
659,2018-10-21,13,"""Biomass""",1764
660,2018-10-21,14,"""Solar""",1
661,2018-10-21,14,"""Wind Offshore""",1861.464
662,2018-10-21,14,"""Wind Onshore""",3435.159
663,2018-10-21,14,"""Other""",64
664,2018-10-21,14,"""Nuclear""",5367
665,2018-10-21,14,"""Fossil Oil""",0
666,2018-10-21,14,"""Fossil Gas""",7629
667,2018-10-21,14,"""Fossil Hard coal""",0
668,2018-10-21,14,"""Hydro Run-of-river and poundage""",572
669,2018-10-21,14,"""Hydro Pumped Storage""",0
670,2018-10-21,14,"""Biomass""",1763
671,2018-10-21,15,"""Solar""",1
672,2018-10-21,15,"""Wind Offshore""",1952.119
673,2018-10-21,15,"""Wind Onshore""",3600.476
674,2018-10-21,15,"""Other""",64
675,2018-10-21,15,"""Nuclear""",5375
676,2018-10-21,15,"""Fossil Oil""",0
677,2018-10-21,15,"""Fossil Gas""",8581
678,2018-10-21,15,"""Fossil Hard coal""",0
679,2018-10-21,15,"""Hydro Run-of-river and poundage""",535
680,2018-10-21,15,"""Hydro Pumped Storage""",0
681,2018-10-21,15,"""Biomass""",1769
682,2018-10-21,16,"""Solar""",14
683,2018-10-21,16,"""Wind Offshore""",1960.777
684,2018-10-21,16,"""Wind Onshore""",3555.017
685,2018-10-21,16,"""Other""",63
686,2018-10-21,16,"""Nuclear""",5368
687,2018-10-21,16,"""Fossil Oil""",0
688,2018-10-21,16,"""Fossil Gas""",8615
689,2018-10-21,16,"""Fossil Hard coal""",0
690,2018-10-21,16,"""Hydro Run-of-river and poundage""",532
691,2018-10-21,16,"""Hydro Pumped Storage""",0
692,2018-10-21,16,"""Biomass""",1769
693,2018-10-21,17,"""Solar""",265
694,2018-10-21,17,"""Wind Offshore""",1972.125
695,2018-10-21,17,"""Wind Onshore""",3917.592
696,2018-10-21,17,"""Other""",64
697,2018-10-21,17,"""Nuclear""",5378
698,2018-10-21,17,"""Fossil Oil""",0
699,2018-10-21,17,"""Fossil Gas""",9312
700,2018-10-21,17,"""Fossil Hard coal""",0
701,2018-10-21,17,"""Hydro Run-of-river and poundage""",704
702,2018-10-21,17,"""Hydro Pumped Storage""",0
703,2018-10-21,17,"""Biomass""",1777
704,2018-10-21,18,"""Solar""",889
705,2018-10-21,18,"""Wind Offshore""",1919.379
706,2018-10-21,18,"""Wind Onshore""",4103.093
707,2018-10-21,18,"""Other""",63
708,2018-10-21,18,"""Nuclear""",5243
709,2018-10-21,18,"""Fossil Oil""",0
710,2018-10-21,18,"""Fossil Gas""",10043
711,2018-10-21,18,"""Fossil Hard coal""",0
712,2018-10-21,18,"""Hydro Run-of-river and poundage""",907
713,2018-10-21,18,"""Hydro Pumped Storage""",147
714,2018-10-21,18,"""Biomass""",1779
715,2018-10-21,19,"""Solar""",1600
716,2018-10-21,19,"""Wind Offshore""",1879.88
717,2018-10-21,19,"""Wind Onshore""",4267.854
718,2018-10-21,19,"""Other""",63
719,2018-10-21,19,"""Nuclear""",5155
720,2018-10-21,19,"""Fossil Oil""",0
721,2018-10-21,19,"""Fossil Gas""",10016
722,2018-10-21,19,"""Fossil Hard coal""",0
723,2018-10-21,19,"""Hydro Run-of-river and poundage""",914
724,2018-10-21,19,"""Hydro Pumped Storage""",156
725,2018-10-21,19,"""Biomass""",1783
726,2018-10-21,20,"""Solar""",2390
727,2018-10-21,20,"""Wind Offshore""",1937.139
728,2018-10-21,20,"""Wind Onshore""",4246.992
729,2018-10-21,20,"""Other""",63
730,2018-10-21,20,"""Nuclear""",5145
731,2018-10-21,20,"""Fossil Oil""",0
732,2018-10-21,20,"""Fossil Gas""",10406
733,2018-10-21,20,"""Fossil Hard coal""",0
734,2018-10-21,20,"""Hydro Run-of-river and poundage""",719
735,2018-10-21,20,"""Hydro Pumped Storage""",149
736,2018-10-21,20,"""Biomass""",1776
737,2018-10-21,21,"""Solar""",3020
738,2018-10-21,21,"""Wind Offshore""",1982.987
739,2018-10-21,21,"""Wind Onshore""",3987.767
740,2018-10-21,21,"""Other""",56
741,2018-10-21,21,"""Nuclear""",5146
742,2018-10-21,21,"""Fossil Oil""",0
743,2018-10-21,21,"""Fossil Gas""",10584
744,2018-10-21,21,"""Fossil Hard coal""",0
745,2018-10-21,21,"""Hydro Run-of-river and poundage""",718
746,2018-10-21,21,"""Hydro Pumped Storage""",194
747,2018-10-21,21,"""Biomass""",1770
748,2018-10-21,22,"""Solar""",3660
749,2018-10-21,22,"""Wind Offshore""",2040.835
750,2018-10-21,22,"""Wind Onshore""",3925.746
751,2018-10-21,22,"""Other""",55
752,2018-10-21,22,"""Nuclear""",5136
753,2018-10-21,22,"""Fossil Oil""",0
754,2018-10-21,22,"""Fossil Gas""",10292
755,2018-10-21,22,"""Fossil Hard coal""",0
756,2018-10-21,22,"""Hydro Run-of-river and poundage""",809
757,2018-10-21,22,"""Hydro Pumped Storage""",179
758,2018-10-21,22,"""Biomass""",1767
759,2018-10-21,23,"""Solar""",4290
760,2018-10-21,23,"""Wind Offshore""",1927.781
761,2018-10-21,23,"""Wind Onshore""",4078.614
762,2018-10-21,23,"""Other""",55
763,2018-10-21,23,"""Nuclear""",5139
764,2018-10-21,23,"""Fossil Oil""",0
765,2018-10-21,23,"""Fossil Gas""",10400
766,2018-10-21,23,"""Fossil Hard coal""",0
767,2018-10-21,23,"""Hydro Run-of-river and poundage""",791
768,2018-10-21,23,"""Hydro Pumped Storage""",150
769,2018-10-21,23,"""Biomass""",1770
770,2018-10-21,24,"""Solar""",4670
771,2018-10-21,24,"""Wind Offshore""",1941.685
772,2018-10-21,24,"""Wind Onshore""",4610.782
773,2018-10-21,24,"""Other""",61
774,2018-10-21,24,"""Nuclear""",5151
775,2018-10-21,24,"""Fossil Oil""",0
776,2018-10-21,24,"""Fossil Gas""",9374
777,2018-10-21,24,"""Fossil Hard coal""",0
778,2018-10-21,24,"""Hydro Run-of-river and poundage""",783
779,2018-10-21,24,"""Hydro Pumped Storage""",149
780,2018-10-21,24,"""Biomass""",1777
781,2018-10-21,25,"""Solar""",4910
782,2018-10-21,25,"""Wind Offshore""",1899.65
783,2018-10-21,25,"""Wind Onshore""",4877.021
784,2018-10-21,25,"""Other""",64
785,2018-10-21,25,"""Nuclear""",5142
786,2018-10-21,25,"""Fossil Oil""",0
787,2018-10-21,25,"""Fossil Gas""",9155
788,2018-10-21,25,"""Fossil Hard coal""",0
789,2018-10-21,25,"""Hydro Run-of-river and poundage""",631
790,2018-10-21,25,"""Hydro Pumped Storage""",198
791,2018-10-21,25,"""Biomass""",1778
792,2018-10-21,26,"""Solar""",4990
793,2018-10-21,26,"""Wind Offshore""",1888.237
794,2018-10-21,26,"""Wind Onshore""",4715.528
795,2018-10-21,26,"""Other""",63
796,2018-10-21,26,"""Nuclear""",5148
797,2018-10-21,26,"""Fossil Oil""",0
798,2018-10-21,26,"""Fossil Gas""",9428
799,2018-10-21,26,"""Fossil Hard coal""",0
800,2018-10-21,26,"""Hydro Run-of-river and poundage""",496
801,2018-10-21,26,"""Hydro Pumped Storage""",150
802,2018-10-21,26,"""Biomass""",1774
803,2018-10-21,27,"""Solar""",4880
804,2018-10-21,27,"""Wind Offshore""",1927.808
805,2018-10-21,27,"""Wind Onshore""",4867.362
806,2018-10-21,27,"""Other""",63
807,2018-10-21,27,"""Nuclear""",5136
808,2018-10-21,27,"""Fossil Oil""",0
809,2018-10-21,27,"""Fossil Gas""",8964
810,2018-10-21,27,"""Fossil Hard coal""",0
811,2018-10-21,27,"""Hydro Run-of-river and poundage""",487
812,2018-10-21,27,"""Hydro Pumped Storage""",150
813,2018-10-21,27,"""Biomass""",1776
814,2018-10-21,28,"""Solar""",4650
815,2018-10-21,28,"""Wind Offshore""",1960.074
816,2018-10-21,28,"""Wind Onshore""",4980.701
817,2018-10-21,28,"""Other""",62
818,2018-10-21,28,"""Nuclear""",5142
819,2018-10-21,28,"""Fossil Oil""",0
820,2018-10-21,28,"""Fossil Gas""",8555
821,2018-10-21,28,"""Fossil Hard coal""",0
822,2018-10-21,28,"""Hydro Run-of-river and poundage""",481
823,2018-10-21,28,"""Hydro Pumped Storage""",155
824,2018-10-21,28,"""Biomass""",1776
825,2018-10-21,29,"""Solar""",4420
826,2018-10-21,29,"""Wind Offshore""",1906.381
827,2018-10-21,29,"""Wind Onshore""",5256.659
828,2018-10-21,29,"""Other""",63
829,2018-10-21,29,"""Nuclear""",5211
830,2018-10-21,29,"""Fossil Oil""",0
831,2018-10-21,29,"""Fossil Gas""",8218
832,2018-10-21,29,"""Fossil Hard coal""",0
833,2018-10-21,29,"""Hydro Run-of-river and poundage""",483
834,2018-10-21,29,"""Hydro Pumped Storage""",360
835,2018-10-21,29,"""Biomass""",1767
836,2018-10-21,30,"""Solar""",3890
837,2018-10-21,30,"""Wind Offshore""",1772.146
838,2018-10-21,30,"""Wind Onshore""",5329.891
839,2018-10-21,30,"""Other""",63
840,2018-10-21,30,"""Nuclear""",5357
841,2018-10-21,30,"""Fossil Oil""",0
842,2018-10-21,30,"""Fossil Gas""",8283
843,2018-10-21,30,"""Fossil Hard coal""",0
844,2018-10-21,30,"""Hydro Run-of-river and poundage""",475
845,2018-10-21,30,"""Hydro Pumped Storage""",202
846,2018-10-21,30,"""Biomass""",1775
847,2018-10-21,31,"""Solar""",3250
848,2018-10-21,31,"""Wind Offshore""",1704.642
849,2018-10-21,31,"""Wind Onshore""",5386.413
850,2018-10-21,31,"""Other""",62
851,2018-10-21,31,"""Nuclear""",5337
852,2018-10-21,31,"""Fossil Oil""",0
853,2018-10-21,31,"""Fossil Gas""",8585
854,2018-10-21,31,"""Fossil Hard coal""",0
855,2018-10-21,31,"""Hydro Run-of-river and poundage""",482
856,2018-10-21,31,"""Hydro Pumped Storage""",445
857,2018-10-21,31,"""Biomass""",1769
858,2018-10-21,32,"""Solar""",2550
859,2018-10-21,32,"""Wind Offshore""",1739.701
860,2018-10-21,32,"""Wind Onshore""",5327.184
861,2018-10-21,32,"""Other""",62
862,2018-10-21,32,"""Nuclear""",5193
863,2018-10-21,32,"""Fossil Oil""",0
864,2018-10-21,32,"""Fossil Gas""",10059
865,2018-10-21,32,"""Fossil Hard coal""",0
866,2018-10-21,32,"""Hydro Run-of-river and poundage""",471
867,2018-10-21,32,"""Hydro Pumped Storage""",177
868,2018-10-21,32,"""Biomass""",1779
869,2018-10-21,33,"""Solar""",1820
870,2018-10-21,33,"""Wind Offshore""",1867.32
871,2018-10-21,33,"""Wind Onshore""",5486.622
872,2018-10-21,33,"""Other""",62
873,2018-10-21,33,"""Nuclear""",5142
874,2018-10-21,33,"""Fossil Oil""",0
875,2018-10-21,33,"""Fossil Gas""",11032
876,2018-10-21,33,"""Fossil Hard coal""",0
877,2018-10-21,33,"""Hydro Run-of-river and poundage""",495
878,2018-10-21,33,"""Hydro Pumped Storage""",163
879,2018-10-21,33,"""Biomass""",1767
880,2018-10-21,34,"""Solar""",1050
881,2018-10-21,34,"""Wind Offshore""",1786.377
882,2018-10-21,34,"""Wind Onshore""",5701.026
883,2018-10-21,34,"""Other""",62
884,2018-10-21,34,"""Nuclear""",5147
885,2018-10-21,34,"""Fossil Oil""",0
886,2018-10-21,34,"""Fossil Gas""",12495
887,2018-10-21,34,"""Fossil Hard coal""",0
888,2018-10-21,34,"""Hydro Run-of-river and poundage""",491
889,2018-10-21,34,"""Hydro Pumped Storage""",153
890,2018-10-21,34,"""Biomass""",1772
891,2018-10-21,35,"""Solar""",417
892,2018-10-21,35,"""Wind Offshore""",1762.3
893,2018-10-21,35,"""Wind Onshore""",5709.133
894,2018-10-21,35,"""Other""",62
895,2018-10-21,35,"""Nuclear""",5154
896,2018-10-21,35,"""Fossil Oil""",0
897,2018-10-21,35,"""Fossil Gas""",13868
898,2018-10-21,35,"""Fossil Hard coal""",0
899,2018-10-21,35,"""Hydro Run-of-river and poundage""",518
900,2018-10-21,35,"""Hydro Pumped Storage""",150
901,2018-10-21,35,"""Biomass""",1774
902,2018-10-21,36,"""Solar""",53
903,2018-10-21,36,"""Wind Offshore""",1928.232
904,2018-10-21,36,"""Wind Onshore""",5737.425
905,2018-10-21,36,"""Other""",62
906,2018-10-21,36,"""Nuclear""",5129
907,2018-10-21,36,"""Fossil Oil""",0
908,2018-10-21,36,"""Fossil Gas""",14330
909,2018-10-21,36,"""Fossil Hard coal""",0
910,2018-10-21,36,"""Hydro Run-of-river and poundage""",554
911,2018-10-21,36,"""Hydro Pumped Storage""",271
912,2018-10-21,36,"""Biomass""",1769
913,2018-10-21,37,"""Solar""",9
914,2018-10-21,37,"""Wind Offshore""",2025.293
915,2018-10-21,37,"""Wind Onshore""",5721.99
916,2018-10-21,37,"""Other""",62
917,2018-10-21,37,"""Nuclear""",5162
918,2018-10-21,37,"""Fossil Oil""",0
919,2018-10-21,37,"""Fossil Gas""",14708
920,2018-10-21,37,"""Fossil Hard coal""",0
921,2018-10-21,37,"""Hydro Run-of-river and poundage""",595
922,2018-10-21,37,"""Hydro Pumped Storage""",972
923,2018-10-21,37,"""Biomass""",1783
924,2018-10-21,38,"""Solar""",7
925,2018-10-21,38,"""Wind Offshore""",2136.573
926,2018-10-21,38,"""Wind Onshore""",5254.734
927,2018-10-21,38,"""Other""",63
928,2018-10-21,38,"""Nuclear""",5315
929,2018-10-21,38,"""Fossil Oil""",0
930,2018-10-21,38,"""Fossil Gas""",15480
931,2018-10-21,38,"""Fossil Hard coal""",0
932,2018-10-21,38,"""Hydro Run-of-river and poundage""",738
933,2018-10-21,38,"""Hydro Pumped Storage""",1253
934,2018-10-21,38,"""Biomass""",1794
935,2018-10-21,39,"""Solar""",3
936,2018-10-21,39,"""Wind Offshore""",2312.72
937,2018-10-21,39,"""Wind Onshore""",4973.909
938,2018-10-21,39,"""Other""",62
939,2018-10-21,39,"""Nuclear""",5342
940,2018-10-21,39,"""Fossil Oil""",0
941,2018-10-21,39,"""Fossil Gas""",15165
942,2018-10-21,39,"""Fossil Hard coal""",0
943,2018-10-21,39,"""Hydro Run-of-river and poundage""",780
944,2018-10-21,39,"""Hydro Pumped Storage""",1309
945,2018-10-21,39,"""Biomass""",1800
946,2018-10-21,40,"""Solar""",2
947,2018-10-21,40,"""Wind Offshore""",2561.683
948,2018-10-21,40,"""Wind Onshore""",5248.713
949,2018-10-21,40,"""Other""",62
950,2018-10-21,40,"""Nuclear""",5336
951,2018-10-21,40,"""Fossil Oil""",0
952,2018-10-21,40,"""Fossil Gas""",14335
953,2018-10-21,40,"""Fossil Hard coal""",0
954,2018-10-21,40,"""Hydro Run-of-river and poundage""",778
955,2018-10-21,40,"""Hydro Pumped Storage""",839
956,2018-10-21,40,"""Biomass""",1803
957,2018-10-21,41,"""Solar""",2
958,2018-10-21,41,"""Wind Offshore""",2576.167
959,2018-10-21,41,"""Wind Onshore""",5330.649
960,2018-10-21,41,"""Other""",63
961,2018-10-21,41,"""Nuclear""",5340
962,2018-10-21,41,"""Fossil Oil""",0
963,2018-10-21,41,"""Fossil Gas""",14064
964,2018-10-21,41,"""Fossil Hard coal""",0
965,2018-10-21,41,"""Hydro Run-of-river and poundage""",724
966,2018-10-21,41,"""Hydro Pumped Storage""",394
967,2018-10-21,41,"""Biomass""",1684
968,2018-10-21,42,"""Solar""",3
969,2018-10-21,42,"""Wind Offshore""",2710.42
970,2018-10-21,42,"""Wind Onshore""",5231.286
971,2018-10-21,42,"""Other""",62
972,2018-10-21,42,"""Nuclear""",5350
973,2018-10-21,42,"""Fossil Oil""",0
974,2018-10-21,42,"""Fossil Gas""",13640
975,2018-10-21,42,"""Fossil Hard coal""",0
976,2018-10-21,42,"""Hydro Run-of-river and poundage""",619
977,2018-10-21,42,"""Hydro Pumped Storage""",150
978,2018-10-21,42,"""Biomass""",1676
979,2018-10-21,43,"""Solar""",2
980,2018-10-21,43,"""Wind Offshore""",2950.135
981,2018-10-21,43,"""Wind Onshore""",5536.264
982,2018-10-21,43,"""Other""",62
983,2018-10-21,43,"""Nuclear""",5333
984,2018-10-21,43,"""Fossil Oil""",0
985,2018-10-21,43,"""Fossil Gas""",11741
986,2018-10-21,43,"""Fossil Hard coal""",0
987,2018-10-21,43,"""Hydro Run-of-river and poundage""",587
988,2018-10-21,43,"""Hydro Pumped Storage""",410
989,2018-10-21,43,"""Biomass""",1680
990,2018-10-21,44,"""Solar""",0
991,2018-10-21,44,"""Wind Offshore""",2911.621
992,2018-10-21,44,"""Wind Onshore""",5403.975
993,2018-10-21,44,"""Other""",64
994,2018-10-21,44,"""Nuclear""",5287
995,2018-10-21,44,"""Fossil Oil""",0
996,2018-10-21,44,"""Fossil Gas""",10514
997,2018-10-21,44,"""Fossil Hard coal""",0
998,2018-10-21,44,"""Hydro Run-of-river and poundage""",585
999,2018-10-21,44,"""Hydro Pumped Storage""",242
1000,2018-10-21,44,"""Biomass""",1681
1001,2018-10-21,45,"""Solar""",0
1002,2018-10-21,45,"""Wind Offshore""",3082.659
1003,2018-10-21,45,"""Wind Onshore""",5373.716
1004,2018-10-21,45,"""Other""",63
1005,2018-10-21,45,"""Nuclear""",5153
1006,2018-10-21,45,"""Fossil Oil""",0
1007,2018-10-21,45,"""Fossil Gas""",9597
1008,2018-10-21,45,"""Fossil Hard coal""",0
1009,2018-10-21,45,"""Hydro Run-of-river and poundage""",461
1010,2018-10-21,45,"""Hydro Pumped Storage""",186
1011,2018-10-21,45,"""Biomass""",1680
1012,2018-10-21,46,"""Solar""",0
1013,2018-10-21,46,"""Wind Offshore""",3443.695
1014,2018-10-21,46,"""Wind Onshore""",5593.08
1015,2018-10-21,46,"""Other""",63
1016,2018-10-21,46,"""Nuclear""",5151
1017,2018-10-21,46,"""Fossil Oil""",0
1018,2018-10-21,46,"""Fossil Gas""",7851
1019,2018-10-21,46,"""Fossil Hard coal""",0
1020,2018-10-21,46,"""Hydro Run-of-river and poundage""",483
1021,2018-10-21,46,"""Hydro Pumped Storage""",151
1022,2018-10-21,46,"""Biomass""",1676
1023,2018-10-21,47,"""Solar""",0
1024,2018-10-21,47,"""Wind Offshore""",3581.672
1025,2018-10-21,47,"""Wind Onshore""",5472.347
1026,2018-10-21,47,"""Other""",63
1027,2018-10-21,47,"""Nuclear""",5166
1028,2018-10-21,47,"""Fossil Oil""",0
1029,2018-10-21,47,"""Fossil Gas""",6210
1030,2018-10-21,47,"""Fossil Hard coal""",0
1031,2018-10-21,47,"""Hydro Run-of-river and poundage""",476
1032,2018-10-21,47,"""Hydro Pumped Storage""",103
1033,2018-10-21,47,"""Biomass""",1678
1034,2018-10-21,48,"""Solar""",0
1035,2018-10-21,48,"""Wind Offshore""",3605.621
1036,2018-10-21,48,"""Wind Onshore""",5350.319
1037,2018-10-21,48,"""Other""",64
1038,2018-10-21,48,"""Nuclear""",5171
1039,2018-10-21,48,"""Fossil Oil""",0
1040,2018-10-21,48,"""Fossil Gas""",5678
1041,2018-10-21,48,"""Fossil Hard coal""",0
1042,2018-10-21,48,"""Hydro Run-of-river and poundage""",468
1043,2018-10-21,48,"""Hydro Pumped Storage""",0
1044,2018-10-21,48,"""Biomass""",1684
1045,2018-10-22,1,"""Solar""",0
1046,2018-10-22,1,"""Wind Offshore""",3893.392
1047,2018-10-22,1,"""Wind Onshore""",5507.181
1048,2018-10-22,1,"""Other""",64
1049,2018-10-22,1,"""Nuclear""",5171
1050,2018-10-22,1,"""Fossil Oil""",0
1051,2018-10-22,1,"""Fossil Gas""",4502
1052,2018-10-22,1,"""Fossil Hard coal""",0
1053,2018-10-22,1,"""Hydro Run-of-river and poundage""",467
1054,2018-10-22,1,"""Hydro Pumped Storage""",0
1055,2018-10-22,1,"""Biomass""",1681
1056,2018-10-22,2,"""Solar""",0
1057,2018-10-22,2,"""Wind Offshore""",3763.85
1058,2018-10-22,2,"""Wind Onshore""",5637.888
1059,2018-10-22,2,"""Other""",64
1060,2018-10-22,2,"""Nuclear""",5183
1061,2018-10-22,2,"""Fossil Oil""",0
1062,2018-10-22,2,"""Fossil Gas""",3986
1063,2018-10-22,2,"""Fossil Hard coal""",0
1064,2018-10-22,2,"""Hydro Run-of-river and poundage""",442
1065,2018-10-22,2,"""Hydro Pumped Storage""",0
1066,2018-10-22,2,"""Biomass""",1682
1067,2018-10-22,3,"""Solar""",0
1068,2018-10-22,3,"""Wind Offshore""",3689.507
1069,2018-10-22,3,"""Wind Onshore""",5691.835
1070,2018-10-22,3,"""Other""",64
1071,2018-10-22,3,"""Nuclear""",5188
1072,2018-10-22,3,"""Fossil Oil""",0
1073,2018-10-22,3,"""Fossil Gas""",4150
1074,2018-10-22,3,"""Fossil Hard coal""",0
1075,2018-10-22,3,"""Hydro Run-of-river and poundage""",428
1076,2018-10-22,3,"""Hydro Pumped Storage""",0
1077,2018-10-22,3,"""Biomass""",1678
