,settlementDate,settlementPeriod,powerSystemResourceType,quantity
112,2018-10-20,11,"""Wind Onshore""",2484.259
113,2018-10-20,11,"""Other""",26
114,2018-10-20,11,"""Nuclear""",4945
115,2018-10-20,11,"""Fossil Oil""",0
116,2018-10-20,11,"""Fossil Gas""",10426
117,2018-10-20,11,"""Fossil Hard coal""",0
118,2018-10-20,11,"""Hydro Run-of-river and poundage""",137
119,2018-10-20,11,"""Hydro Pumped Storage""",0
120,2018-10-20,11,"""Biomass""",1769
121,2018-10-20,12,"""Solar""",0
122,2018-10-20,12,"""Wind Offshore""",791.804
123,2018-10-20,12,"""Wind Onshore""",2545.045
124,2018-10-20,12,"""Other""",27
125,2018-10-20,12,"""Nuclear""",5070
126,2018-10-20,12,"""Fossil Oil""",0
127,2018-10-20,12,"""Fossil Gas""",10372
128,2018-10-20,12,"""Fossil Hard coal""",0
129,2018-10-20,12,"""Hydro Run-of-river and poundage""",446
130,2018-10-20,12,"""Hydro Pumped Storage""",0
131,2018-10-20,12,"""Biomass""",1765
132,2018-10-20,13,"""Wind Onshore""",2772.939
133,2018-10-20,13,"""Other""",26
134,2018-10-20,13,"""Nuclear""",5079
135,2018-10-20,13,"""Fossil Oil""",0
136,2018-10-20,13,"""Fossil Gas""",11255
137,2018-10-20,13,"""Fossil Hard coal""",0
138,2018-10-20,13,"""Hydro Run-of-river and poundage""",525
139,2018-10-20,13,"""Hydro Pumped Storage""",0
140,2018-10-20,13,"""Biomass""",1764
141,2018-10-20,13,"""Solar""",0
142,2018-10-20,13,"""Wind Offshore""",791.144
143,2018-10-20,14,"""Solar""",1
144,2018-10-20,14,"""Wind Offshore""",818.923
145,2018-10-20,14,"""Wind Onshore""",2829.745
146,2018-10-20,14,"""Other""",27
147,2018-10-20,14,"""Nuclear""",5127
148,2018-10-20,14,"""Fossil Oil""",0
149,2018-10-20,14,"""Fossil Gas""",11283
150,2018-10-20,14,"""Fossil Hard coal""",0
151,2018-10-20,14,"""Hydro Run-of-river and poundage""",537
152,2018-10-20,14,"""Hydro Pumped Storage""",2
153,2018-10-20,14,"""Biomass""",1762
154,2018-10-20,15,"""Solar""",0
155,2018-10-20,15,"""Wind Offshore""",788.617
156,2018-10-20,15,"""Wind Onshore""",2898.48
157,2018-10-20,15,"""Other""",27
158,2018-10-20,15,"""Nuclear""",5275
159,2018-10-20,15,"""Fossil Oil""",0
160,2018-10-20,15,"""Fossil Gas""",12299
161,2018-10-20,15,"""Fossil Hard coal""",0
162,2018-10-20,15,"""Hydro Run-of-river and poundage""",540
163,2018-10-20,15,"""Hydro Pumped Storage""",0
164,2018-10-20,15,"""Biomass""",1764
165,2018-10-20,16,"""Solar""",119
166,2018-10-20,16,"""Wind Offshore""",787.045
167,2018-10-20,16,"""Wind Onshore""",3090.193
168,2018-10-20,16,"""Other""",27
169,2018-10-20,16,"""Nuclear""",5295
170,2018-10-20,16,"""Fossil Oil""",0
171,2018-10-20,16,"""Fossil Gas""",13298
172,2018-10-20,16,"""Fossil Hard coal""",0
173,2018-10-20,16,"""Hydro Run-of-river and poundage""",540
174,2018-10-20,16,"""Hydro Pumped Storage""",157
175,2018-10-20,16,"""Biomass""",1766
176,2018-10-20,17,"""Solar""",517
177,2018-10-20,17,"""Wind Offshore""",801.616
178,2018-10-20,17,"""Wind Onshore""",3102.089
179,2018-10-20,17,"""Other""",27
180,2018-10-20,17,"""Nuclear""",5293
181,2018-10-20,17,"""Fossil Oil""",0
182,2018-10-20,17,"""Fossil Gas""",14555
183,2018-10-20,17,"""Fossil Hard coal""",0
